Entry	Interacts with
P53135	Q08032; P47027; P22216; Q08457
P40078	P53188; P36049; Q03532; P39744; Q02892; P53927; P53131; P25382
P36129	
P87286	
P12695	
Q06449	P53933; Q12446; P47075; P40483
P17157	P37366; P35190; P20437; P24867; P53124; P25693; P38794; P40038; P40186; Q08966; Q12477; P20052; P17442; P10591
P52290	
P07274	P60010; Q9VEX9
P38255	P32561
Q12100	
Q08985	
P53969	P18409; P14693; P50110; P49334; P23644
P17558	
P89102	P38261; P32844
P25303	
P39515	P42949; Q07914; P32897; Q01852
P38814	
Q04902	
P40167	P41833
P33757	
Q04748	
P36094	P06787; P53865; P40457; P32908; P32380; P33419
P46676	P38074
Q07657	P32458; P32468; Q12263; P40075; P39523
P53312	
P38208	
P33333	
P40975	
P32345	P40164; P38193
P20604	P40454; P43612; P40856; P36123; Q04372
Q12428	
Q06991	
P40100	
P04046	
Q06639	P38781
P53047	
P43589	
P38165	P32607
P36123	P20604
Q04734	
P06169	
P07270	P52918
P40347	
Q12146	P40359
P07390	
P40508	
Q02983	
Q12532	
P39007	Q99380; P32915; P33767
P33894	
P38869	
P53201	Q06337; Q12464; Q05471
P09547	
P48525	
P02557	P48606
P46670	
P40085	Q12232
Q05934	Q02457
Q07410	
Q12195	
P39703	
P38269	
P38355	
Q3E7Y4	
P40574	
P38730	
P38740	
P53234	
P53156	
Q8TGN7	
P53282	
Q3E825	
Q05854	
O13543	
Q8TGP3	
Q06252	
O13578	
P0C5R0	
Q08205	
A0A023PYF7	
Q08811	
Q12426	
Q03612	
Q08532	
A0A023PXJ3	
Q3E7B4	
P31111	Q06032
Q02831	
Q12243	
P48559	P53633; P53093
P20107	P53756
P16451	
P53297	P38828; P40850
P50085	P40961
P05066	
P25578	
P53872	
P40005	
P36139	
P38336	P41812; P53218; P38291; P38786; P40571; P40993
Q07350	P32524
P38627	
P38714	
Q06490	
P33315	P23254
P50078	
P00899	P00937
P00931	
Q99344	Q12059
P48836	P22203
P35194	Q05022; P53254
Q04179	
P32842	
P47165	
Q03205	
P25593	
Q07355	
P38214	
P38299	
P38188	
P38258	
Q86ZR7	
P0CL28	
P36099	
Q12312	
P53717	
A0A023PXI0	
P40500	
A0A023PZI9	
Q8TGN1	
O13536	
A0A023PYH5	
O13537	
Q3E828	
P40218	
P53268	
Q99315	
P38701	
P07281	
Q07979	P25632; P32597
Q12529	
Q08968	P33203
Q04172	
P38968	Q04491; P48415; P15303; P40482
P40561	P32588; P53316
P32844	P19658; Q06245; P89102; P32855
Q06245	P19658; P38261; P32844
P30619	P53604
P33330	
Q6Q595	
P32364	
P48232	P35727; P40003
P46950	
Q03782	
P38863	P53540; P53378
P39980	
P38634	Q00684; P07834; P32485
P38283	P47134; Q00684; P24869; P53267; P38991; Q3E7Y6
P53101	
P00958	P46672
Q04372	P23594; P23595; P20604; P32600
Q12116	
P36029	
Q06451	P53283
P53262	
P31412	P32366
Q07454	
Q2V2Q0	
Q12185	
P0C5L3	
Q6B113	
P38306	
O42831	
P38268	
P38190	
P53133	
P46986	
P36058	
P47028	
P34245	
P47188	
A2P2R3	
P38835	P39940
Q3E743	
P0CI67	
A0A023PZJ3	
Q3E804	
P0CX67	
Q3E824	
Q12182	
P32792	
Q06070	
P43591	
Q8TGS2	
Q06479	P52286
P0CX95	
P38298	
A0A023PZH1	
P14907	Q06142; P48837; P40368; Q14974
P47180	
P02406	
P05749	
P0CX84	
Q03195	Q05775; P12385; Q6Q7I0
P46669	P50106
P04050	Q06697; P89105; P53617; P08518; P53064; Q00416; P27692
Q08774	
P53437	
P40571	P38336
P16965	
P53866	Q03532; P32899; P25586; P53131; P53254
P47108	P53734; Q05942; P34241
P08153	
P09733	
Q02939	Q3E7C1
P38427	Q00764; P31688
Q05776	O60200
P32571	P48582; Q08003
P21304	Q08235
Q12196	
Q3E757	
P0CX43	
P0CX24	
P26321	Q02892
Q07915	
P02381	
P43588	Q12250; Q08723; Q04062; P33299; P40327; P33298; P53549; Q01939
P0CX30	
P54003	
P50104	
P09959	P13365; P39678; P25302
P53378	P38863; P53540
Q06466	
P22217	
P0CF17	
Q08926	
P40522	
Q12016	P47111
P12611	Q07800
P47111	Q12016
P39702	
Q06263	P69771; P39929; P52917
P25607	
Q07535	
Q07530	
P37264	
Q03899	P52286
P25572	
Q8TGQ5	
Q8TGU5	
O13515	
P38320	
Q8TGK6	
P38173	
P40519	
P40514	
P47012	
P34251	
Q04711	
Q8TGS9	
P0CL35	
Q08018	
P38750	
Q6B108	
P38898	
P38868	
P38729	
P40538	
Q03187	
P53979	
A0A023PXG3	
P43552	
P48238	
P40326	
Q08172	
P53284	
O13530	
