Entry	Interacts with	Cross-reference (STRING)
Q08457	P53135	4932.YOR060C;
Q07351		4932.YDL048C;
P38688	P29478; P38985	4932.YPL210C;
Q99176	P42939; P25604; Q02767	4932.YLR119W;
P46655	P46672	4932.YGL245W;
P11747	Q12030; Q04226	4932.YML098W;
Q12328	P53220	4932.YDL217C;
Q08144	P32602; Q03322; P38932; Q04338	4932.YOL018C;
P08067		4932.YEL024W;
P52488	Q06624; Q12306	4932.YDR390C;
P25610		4932.YCR104W;
P53191		4932.YGL023C;
P39104	Q06389; P38817	4932.YNL267W;
P25362		4932.YCR020C;
Q04636	P61830; P22336; P32558	4932.YML069W;
P40012		4932.YER014W;
Q06494		4932.YPR127W;
Q03407	P02829; P53252	4932.YDR490C;
Q02772		4932.YJR034W;
P47116		4932.YJR059W;
P22579	Q12432; P21957; P32561; Itself	4932.YOL004W;
P33419	Q12365; P28743; P40457; Itself; P36094	4932.YPL124W;
P40825		4932.YOR335C;
P38788	P32527	4932.YHR064C;
P40528		4932.YIL047C;
P09436		4932.YBL076C;
P15019		4932.YLR354C;
Q12049	P47130	4932.YPR045C;
Q08686		4932.YOR251C;
P07285		4932.YDR354W;
P32634		4932.YER132C;
P40475		4932.YIL120W;
P21771		4932.YDR337W;
Q07534		4932.YDL119C;
P40063		4932.YER104W;
Q05543		4932.YDR289C;
P35187	P22216; P22336; Q02685; Q12306; P13099	4932.YMR190C;
P40363		4932.YJL068C;
P14906	P21825; P33754; P39742	4932.YOR254C;
P52870	P46964; Q99380; P33767	4932.YER087C-B;
P45978		4932.YPR129W;
P53324		4932.YGR263C;
P03878		4932.Q0065;
Q07798		4932.YLL005C;
Q04195		4932.YDR409W;
P50875	Q12060; P53165; P06844	4932.YOL148C;
Q12232	P40085	4932.YOR154W;
P53955	P43603; P40485	4932.YNL047C;
Q12267	Q06680	4932.YLR086W;
P33300		4932.YPL057C;
P38699		4932.YHR178W;
P11325		4932.YLR382C;
P39931		4932.YLR250W;
P39079		4932.YDR188W;
P35202		4932.YOR143C;
P40032		4932.YER049W;
Q08322		4932.YOL161C;
P35842		4932.YAR071W;
Q07951	Q12245	4932.YLR021W;
P19735	Q06819	4932.YBR055C;
Q08217	P32861	4932.YOL045W;
P07257	P07256	4932.YPR191W;
P43609	Q9URQ5; P32832; P25632	4932.YFR037C;
Q07458		4932.YDL076C;
Q12158	P40541; P32908; P47037	4932.YDL003W;
P10870		4932.YDL194W;
Q03029		4932.YPL130W;
P40150		4932.YNL209W;
P11484	P43573; P40433; P32589; P38825	4932.YDL229W;
P37297	P46951	4932.YLR305C;
Q12020	P39014	4932.YLR082C;
P13188		4932.YOR168W;
P39077		4932.YJL014W;
Q05027	P50105; P53040; Itself	4932.YMR236W;
P34163		4932.YKL140W;
P38426	Q00764; P31688; Itself	4932.YMR261C;
P38288		4932.YBR162C;
P06104	Q07457; P10862; P19812; Q07963	4932.YGL058W;
Q03790	P34077; P38181; Itself	4932.YMR153W;
Q02803		4932.YPL052W;
P18898	P29703	4932.YGL155W;
Q03262		4932.YMR278W;
P38193	P32345; P40164	4932.YBL046W;
Q08931		4932.YPL192C;
Q05911	P06103	4932.YLR359W;
Q04779		4932.YMR075W;
P39531	P52286	4932.YJL204C;
Q12090		4932.YLR107W;
P21524	Itself; P09938; P49723; Q04964	4932.YER070W;
P0CX50		
P0C0V8		4932.YKR057W;
P32603		4932.YOR190W;
P39929	P48582; P36108; Q03281; Itself; Q04272; Q06263	4932.YLR025W;
P38915	P07273; Q12060; P32494; P13393; P35177	4932.YLR055C;
P27692	Q06697; P89105; P40164; P04050; P53064; P32914; P23615	4932.YML010W;
P25294	P25367; P10591; P10592; P32589; Q7LKB1	4932.YNL007C;
P53251	P38333	4932.YGR081C;
P11972	P08539; P0CI39	4932.YLR452C;
P36150		4932.YKR069W;
P25379	P38622	4932.YCL064C;
P38758		4932.YHR009C;
P47030	P40559	4932.YJL083W;
P25635	Q12220; P40362; Q06078	4932.YCR057C;
Q05468		4932.YDR333C;
P0CX51		4932.YMR143W;
Q08932	P46973	4932.YPL193W;
P32832	P02829; P43609	4932.YMR091C;
